Emotion,author,Sentence
surprise,BreeSymone,"@TerrenceJ106 Here! Got a 2JOBs &amp;a degree, but my damn car DIED so @lamborghinibow just made me feel shitty bout not havin a car!"
surprise,sarahxkennedy,@Scrambledmegs haha i love surprises! i don't work til sunday tho so i have to wait.
surprise,Glock,@wilw wtf pogs are back too?
surprise,brookedanielle_,"@ELJmcfly I don't think any of what i just said it true, i just had a rant about mcfly, i cant belive i did that  i feel ashamed"
surprise,micooper1,yea dude... 5'8&quot;! really!?
surprise,natamari,@iSpyLevis nooooooooo i just got into my pyjamas!
surprise,etafish,"@liedra Bubble tea is awesome, it's been so long since I've had some"
surprise,Heffertron,what a lovely summery morning! Shame I have to be in work!!!!
surprise,dougiedaydream,@halina1979 what sun?
surprise,shriggles,can't believe he has to wait till October to see &quot;Up!&quot; when Americans get to see it this weekend.
surprise,cecilyhania,@sebchew YoYo door nazis refused me entry on account of no ID  gutted! Heard it was a good night tho.. Next time I'll come prepared!
surprise,rdavemacdonald,"Wow one year today Luc Bourdon was killed, doesn't seem that long ago"
surprise,wenli,@swpave ?????????????
surprise,rainonmyparade,i thought it was already winter. turns out winter has even started
surprise,AmyLSwindler,Not ah huge fan of getting up in the middle of the night to change peed sheets and underpants.
surprise,airwillson,huh? its 1 am already? shucks
surprise,MsHoly,Arghhh...my korean dvd can't see..I need to laugh..
surprise,ShannonElizab,@amberndragt  There isn't any right now. They need to make more. Sorry.
surprise,meganstorey,Is too much of a bro
surprise,MCMLXV,@davidmarkscott another letter for you - this one car insurance - ouch
surprise,xoxo_arielletse,I can't believe how fast this week has gone by
surprise,elainesnowden,@jesssicababesss really? cuz KC.com said it was releasd 24/4 here n the main station doesn't even hav it
surprise,so_cocky,@oOogabriela wat u doin my bad im mixin this song
surprise,Izrael,"@atlprincess 'erocka the ruler' i called you, but i see i gets the no love   whats up with that?"
surprise,ChewChewTray,@ncremins Wednesday? you are joking me? that soon???  when's the partaaaaaaay?
surprise,scotwriter,@MAVinBKK it feels like ages away! More than 5 months
surprise,pegebernholt,sleeping... would've been home sooner but we accidentally killed bambi on the way home
surprise,aussyaa,Woke up and there was sun! And then it started to rain
surprise,GeoAtreides,"Uuu, am din nou PR 4. Yeey, my epenis is now bigger! ... ... ..."
surprise,bholfeltz,"@k_tron oh god, whose tire?"
surprise,ashleigh_03,has just booked her appointment to give blood 18:20pm 2nd June! Scared
surprise,Bashair_E,"getting dressed to go to Granny's,another day of now twitting"
surprise,Michelle90210,just reached for her plate to get another bit of toast and realised id eaten it all  not a nice feeling
surprise,adrialarasati,geez why do u have to be SO obvious?
surprise,ohmysunshiine,i messed up my back/hip. it hurts so bad
surprise,mutedriposte,@jolynnchew so early??
surprise,Errric,@vmysterrr are you serious!? that bloooooows
surprise,So_CalChica,Going to bed...going back to Korea tomorrow
surprise,Mr_Teez,@LivLaughLove7 u didn't hit me up
surprise,MisterRo,@helga_hansen Darn - I just realised &quot;pull the other one&quot; would have been a *far* better response to your name suggestion
surprise,NChill,still can't believe all of the gig posters in the Little Civic have been taken down!?
surprise,fildv,@stvwrnr i can't believe it...
surprise,xWindyMillerx,Rather jealous of my football club who have all gone to Portugal on tour today. They're even playing a Sporting Lisbon veterans side.
surprise,RalphBassfeld,Had to cancel subscriptions today to NZZ and Economist at office  #costsavings Luckily they also have online versions
surprise,kaboooom,@xC_A_Tx lol i havent watched it yet..  congrats!
surprise,lovemandy,http://twitpic.com/667g1 - Marshmellows + muffins = fail  They all bubbled and then evaporated leaving big holes! heh still taste alri ...
surprise,veneschamarie,@SmileDaily I wish I was getting pancakes  booooooooo
surprise,lamhine,"By the time we got back up to grizzly peak with cameras to capture the sea of fog we were above, it already engulfed everything"
surprise,melpig,ucler!!! I got 2 big ones in my mouth
surprise,BlueFoxAlley,I am horrible at appraising peer work. What are these Americans thinking when they compose poems? Or maybe I am the one with the problem.
surprise,KKCappie,@ManaMoose I can't believe you went and got boba without me.
surprise,Medros,"@Rilgon ahh seen a few of those drop, but I just tossed them thinking it was a once only turn in"
surprise,edziardo,"@vibzfabz Hey, you change your twitter account, and you didn't even tell me..."
surprise,Andicurrie,@iszi_lawrence did you forget something this morning? you nearly ran me over at the bottom of the hill!  its very very warm in the shop! x
surprise,cam_horror,why am i awake?
surprise,monkeytypist,Endlessly fascinated by the dual engine monitor in this cab. Then it reminds me of #sustainability fail . Sorry next gen.
surprise,revbrandy,omg. cat had a hairball. awake now.
surprise,sweetkisses277,Omigoodness I feel like a popsicle
surprise,whatkatiedoes,@AriannaHalshaw Oh no
surprise,Spidersamm,so during that whole whole addiction talk with my brother and that lady....i broke down and couldnt help but cry
surprise,LaColombella,damjust finished watching Prison Break: the final break...omg i dont think i've cried so hard for a show..Finally understand the finale
surprise,rhiebaby,if someone had've told me things would get this hard..i would never have done it
surprise,linnoow,"OMG, it's JULY'S LAST DAY!"
surprise,linnoow,"OMG, it's JULY'S LAST DAY!  @ Muchachomalo"
surprise,mam1cutie,@pntbtrkisses WHAT! That's horrible! To purposely write about it to a bunny is just mean &amp; cruel!    Not to mention just plain tacky....
surprise,kevin_choo,Getting stressed over a sortie tomorrow. And like I am really really stress..
surprise,vanessasaywhaaa,sadly  brother told me there are no skateparks where he lives. BUMMER!
surprise,trouble182,i don't understand the whole follow friday thing?
surprise,_L_H_,why am i up so early
surprise,ERisbayDSA,@dilyaela nope not really only a sweatshirt.  oh and these really really awesome doughnuts haha
surprise,karen_,The sun has gone in!
surprise,allyyy,"i hate the fact that it is so nice outsidee, and im inside doing revisionn"
surprise,DelBoy822,Just got refused a bottle of morgan's in tesco despite saying helen could verify my age...  shocking... Just left all the shopping! X
surprise,chumbayaa,@Fnoo was like that last night as well man. somebody didn't make it in time to the 30p loos
surprise,FreeFlyFerret,"@trixie360 trivia? Working, no computer!"
surprise,serenityangels,"Acquiring a CentOS live CD, now where did I put my memory stick, I would like to boot from that. I wonder if I left it at home"
surprise,philipjohn,@calvin141170 If it's any consolation I've had to abandon the back garden thanks to my super-reflective laptop screen
surprise,sausheong,@sengming learning tat the scenic way  din plan to go town but somehow was herded there?
surprise,TagAlongTess,@bronte_saurus Oh. Hrmmm in that case I have no idea. And I only just realised you're talking about THAT bike! Solly
surprise,daniellefred,Omg its so gross out. no  relays tonight!
surprise,karinb_za,@DexterAddict Aw  *hugs* Sorry man.  If I were rich I'd buy u a ticket NOW!
surprise,colinofski,Fighting a sore throat.. Few more days hard training then rest next week for Sunday race.. Oooohhh sun's out... Nope.. Gone...
surprise,iAppleGeek1,Just had my hair cut it looks like shit
surprise,eepitswill,Yay! Power = on! Phone = charged. It's hot
surprise,halbpro,Oh. Seems the playable Joker PS3 exclusivity on Arkham Asylum is much bigger than thought.
surprise,Jonnyapps,I thought there was more Fanta in my can than there was
surprise,Maisy13,Job???????   Not so much.
surprise,TheCheesyRiders,"@sideone yeah, I much prefer tweetdeck but if you must have multiple accounts"
surprise,riandawson,Almost showtime in Osaka.  Our last night here in Japan  I will miss youuuu
surprise,rickoshea,@Dublins98Dave @doneganland has tickets.......?
surprise,Veronica_F,Ugh RUDE!..
surprise,allenskd,"following people around, though there are so many.. where are the webdesign twitters!"
surprise,aNorthernSoul,Why can't I buy the Nokia N97?!? Amazon says &quot;cannot ship to this address.&quot;
surprise,carrie_taz_girl,"It's Friday and sun is shining and its quite warm already, Just walked the dog, He is so freaky  hyper"
surprise,SweetieAngel,NO! Our TV's busted  The screen turned white for about a nanosecond while it made a quick &quot;popping&quot; sound.
surprise,fxpoignart,dev.java.net : the slowest website
surprise,leahjadee,@iamepiclyamazin bahah. but....nick..
surprise,JessTheBestDuuh,@Andre_Mitchell i've never been to the opera before...don't think that was me
surprise,anithamathew,has a headache already?  boo
surprise,RnRFan119,i have sore throat. that's suck.
surprise,kittyannette,will be attending CIC's parents' orientation tomorrow...need to wake up early
surprise,BruneiArsenal,I'm making a logo on photoshop &amp; it didn't work out..  hehe.. try again lah..
surprise,steveackles,it's raining again
surprise,schmelissa,MIffed to discover that I only own De La Soul's &quot;Stakes Is High&quot; on cassette! And iTunes/Amazon don't sell a digital copy
surprise,SpankRansom,@jaspercullen I would think you'd want to follow me.
surprise,kveals2531,Going to work.  Could use some happy pills
surprise,briefy_leigh,What!?!
surprise,SoniaLaw,does not know hot twitter works
surprise,texanoutofwater,"@operationkiwi Ooo....sounds great! hope the weather does stay nice.  re: hot water bottle, was just thinking how BAD it would be to leak"
surprise,ergo14,why did last.fm wanted money from me to listen to my radios
surprise,pensivepisces,@dhewlett Well that�s disappointing to hear.
surprise,SherriMcKnight,@dsfq Definitely grass cutting   Cole has committed himself to stacking wood for our neighbor as well. Past 2 days set is back too far.
surprise,fashionelf,"@simoncollister I moved in with the other half, so no balcony anymore  Have got a great mini-herb garden on window sill though! you?"
surprise,noh8tr,"@alexalgebra Unfortunately, that's how it usually goes.  In answer to yesterday...I'm okay. Things may be looking up. Miss talking to you."
surprise,heatherirving,"really cant be bothered going to work tonigh, its too nice to be stuck inside"
surprise,annief1,@sallyinnorfolk I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey
surprise,Neesha0429,@asheleybg That's actually not too far from the truth
surprise,thejessicas,@MiaOMal i'm not partying tonight
surprise,icedgems03,"@bex_1210 holy crap, I need to see that! Too bad I gotta wait until tomorrow"
surprise,Holsworth,gutted - the handbag I wanted has been sold!
surprise,meechie1920,"@jj1814 WOMAN, I didn't know you came home  you so suck!!! When are you going back!"
surprise,JimmyRyan,Woke up to the sound of my neighbor getting a new roof
surprise,antonio_lima,"@MoosejawMadness You arent following me, so i cant send you a DM.."
surprise,crystalshong,"@chelleis Whoa man, now THAT was a great one. I went to Heaven for 5 seconds. U know why lah but pls shhh. LOL. So sorry u weren't there!"
surprise,srbeatty,"@hollyneufeld i found a few a couple of weeks ago.    i spazzed and then pulled them all out, so life is back to normal, lol."
surprise,zazaty,@lynnisnotgay tsk baddie. imissmonkeh today
surprise,xxxmybullet,jake thomas looks so precious :'( i hate when they say &quot;there it is i see the white light&quot; in every ghost whisperer show
surprise,DarianMarie43,Damnation. I just woke up.
surprise,patchh,@beamatti Ayy.  Okayyy. It was nice seeing you kanina ! :&gt; I like your hair. :&gt;
surprise,ang_w,"One load of washing put away, and another load on. Amazing how the house doesn't look any better for all my efforts"
surprise,ZanTruluck,&quot;yeah them men love them blowjobs&quot; -something you never want to hear your grandma say over breakfast talkin about charles barkley
surprise,nadinenatalin,says ptour2 tom.  hello school again. shit! http://plurk.com/p/x15fh
surprise,josordoni,@swingsandpretty tip 2 : at the very least make sure the bottle top is on securely and tightly...
surprise,icats,Oh man sold out  had to step away from my desk for 10 min! @theaskanison you were right
surprise,dahlbyk,"@PirateEric When I read that, my first thought was using Cast&lt;T&gt;() as a status symbol"
surprise,izaartillero,@luzy_artillero Hahaha. Sana someone's selling the full version of &quot;Coding Workshop Photo Recovery Wizard&quot; CD! Demo mode lang eh
surprise,Sidepocket,"I just found out that one of my friends, someone who I use to talk to all the time who has disappeared is blocking me from Flickr."
surprise,suzysquirrel,back to my office.  the fire alarm went off due to someone burnt food in microwave
surprise,RoxieDax,"Twitter seriously, SERIOUSLY dropped the ball here with my RoxieRavenclaw account. I'm so mad and sad about this."
surprise,HungryBirds,It's 11:05 and I'm already on my lunch break
surprise,absasteel,so im dogsitting at my friends house and her cleaning lady came this morning. and she told me i looked like i was 18.  man. growing younge
surprise,usumcasane,@Twyst The devil you say!  I've been waiting for the Black Widow in movies and now she won't be awesome at all.
surprise,tinywook,@Samtagious DAMN! a mass unfollowing and i didnt get the invite! im bummed now
surprise,misschatterbox5,is waiting for the estate agent to do valuation. oh joy. *sigh* i need to be in the funhouse  pink baby come back!!!!
surprise,Ben_Hall,"wow, EMC's new site is - different"
surprise,NatashaNikitas,@PETAEurope OMG!! that is tragic!
surprise,andienbelle,sooo cloooseee
surprise,letskilldave,The NVIDIA ION-based Lenovo IdeaPad S12 (  http://is.gd/J6Zy ) is awesome.  Fn key to left of Ctrl makes it non-starter for me though
surprise,Chambers_,Notion video deleted.
surprise,TayluhTeel,Pshh i dont have it
surprise,jonsky,@blondebear87 ah yes dropping the bear thing  it's such a lovely day here! Very odd for stafford!!
surprise,robnero,@theguigirl I'm afraid not much  I just realized the true difficulty of this design. I may cry soon. #idmfinal
surprise,yolaa,my best friends bought something which i really want.
surprise,runnerbird,"@pangwingyin OHMIGOD, I would have loved that. Alas, there was just lots of gun play. No dancing"
surprise,NadiaWest,@dahveed76 Um your latest tweet sounds like something bad has gone down.
surprise,superloza,@MeriDubs whaaat. I still have next week
surprise,doombox,@mynameisgay You are so lucky you get to travel.
surprise,danabrit,Sometimes I wish I had my own Prototype mentor.
surprise,MeowMeowHotMix,My chick wont shut up  Will only stop chirping if i sit with the bloody thing.
surprise,K_MacFarlane,@skyladawn Exactly. She becomes completely incapable of anything unless he's there helping her. Too many of those are out there.
surprise,abby_rathburn,"Oh man, there are dead deer everywhere in michigan."
surprise,Shredd3r,@NHL10 I was hoping for a better trailer
surprise,xsmellycatx,PEOPLE!!! wat the hell is a follower on twitter???? I DONT GET IT!!!
surprise,DeadSpider,@Yampolito That will make things fair. My poor Tiger has no claws or nutz
surprise,bizziefan,@musical_musings Good morning!  It is raining here
surprise,Sonja_S,@Abougu I didn't see this until after
surprise,Luphinus,Up early. Knee throbbing. Maker Faire 99% out now. Possibly Califur too. Same torn ligament as before I think. No insurance tho.
surprise,Dan_,"@cashbingo - I read that as follows: &quot;I'm a what?! What'd I do? Yes, she is rather simple. I miss you dicks too...   &quot;"
surprise,PlayRadioPlay,My mom just texted me and told me that Rodney was chasing fireflies in their backyard. Awwwww I'm miss him    http://twitpic.com/66pn1
surprise,usuke,??? weekend standby duty??????????????????????????????????????????????????
surprise,atomicplayboy,@JinxCat What? I was being serious.
surprise,zandperl,"Energy steadily increasing, thankfully, but the cough isn't going away."
surprise,latirana,@cindyandcindy u never told me abt ur date ... who is the lucky guy im so out of the loop
surprise,saturnian_s,"@ringqvist juice! I miss juice, any fruit"
surprise,ilovedannyjones,@tommcfly Is it true that you love brazil more than australia  nitey
surprise,ensign117,heading down to beach! still no fone....woo!
surprise,imhungrydude,@gladieator  got my hair rebonded at some korean place. dude! my hair is f'in fried! cut 5&quot; already ... now just chopping it off!!!
surprise,emilyzele,Cant fall asleep.
surprise,leia12,@lipstickmasala What?! He chose one of them? Nooo... Betty was supposed to get him in the end.
surprise,BritBrat20,just waking up...ahh i have a headache
surprise,kaitli,"@AskAroundOttawa it's annoying bc my hair products don't have perfume, but smell like the ingredients in them"
surprise,TSFMarketingPR,BREAKING NEWS: GM shares are currently trading below $1.00 at only $.88 per share!!
surprise,iShatara,Doesn't think @polo65th will be following me....
surprise,peppypep1,I sunburnt through factor 30
surprise,xxfishdrummerxx,@damgedpeople   XDXDXD you crazy little thing why didn�t you get off the train and hug me????
surprise,Pauly76,@simonwilder I want to play
surprise,FindingKristy,"@zurplemoon  I'm sorry.....deep breaths, I started a program called panicaway...it has worked wonders."
surprise,Adman500,now there's a fly in my room
surprise,audioboo,Geoff posted a boo: Coming Home From Tenerife Boo  http://boo.fm/b25651
surprise,RubyAliceX,im not going to my dads tonight !!!!! and hes got a 12 foot pool  he has to tell me that hes got things when im not going TWAT !!
surprise,theclarkster,"Final thought for the day, does deodorant really make your lungs bleed when inhaled constantly? Certain females paranoid about BO"
surprise,Pro_94JBIT,@Shikha_M didnt get it clear
surprise,YarielaNolasco,Oh MAN !! I was going to connect my old school Nintendo to play mario games. And is not in the bag I gotta search for it.
surprise,samosamancer,"Argh, I can't avoid spelling bee spoilers anywhere! Now I know the winning speller and word before having actually watched the bee."
surprise,flossiebella,@captaincarrott  you're mean to me. You're gonna have to have pizza tonight or it will go off.
surprise,chanmaster,http://www.bodybuilding.com/fun/richardchan.htm OMFG this dude looks well 'ard! He puts me to shame...
surprise,MochaSweet,@epiphanygirl  When are you coming to Indianapolis  !?!?
surprise,lady__croft,Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost
surprise,RevSandi,Off to Dollarama -- I wish I had a new job
surprise,geefunk,Took the cutest pics of Andy yesterday. But I don't have them.  Used my bro's fancy DSLR &amp; didn't have time to upload them. I want my own!
surprise,RMcD94,Scott's leaving now
surprise,SophieeAyy,@dwsomers samee well i aint a man i am a girl obv nd i am 14 lol   i aint no1 special or not famous or rich  wish to be tho xx
surprise,ItsToni,@BetterisLittle when it rains it pours - how true is that? I'm so sorry  I hate those kinda times.
surprise,abbyavaryxo,@bonnieguthrie why?!!?
surprise,brokencrystal,"@gipsy_dreamer Wow, you still haven't gotten them?"
surprise,tayalejandro,"@stacyshow gangstarr exgirl to the next girl, nas one mic, hold on i still can't listen so i guess it dont matter"
